"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1311","login with invalid credentials","webkit","2026-05-18","passed","2026-05-18","Login Tests","","",""
"","4036","TC-CART-002: Remove item from cart","firefox","2026-05-18","passed","2026-05-18","Shopping Cart Tests","","",""
"","3511","TC-CART-004: Cart Persistence After Navigation","firefox","2026-05-18","passed","2026-05-18","Shopping Cart Tests","","",""
"","2104","TC-CHK-003: Special Characters in Form Fields","firefox","2026-05-18","passed","2026-05-18","Checkout Flow Tests","","",""
"","2314","login with empty fields","webkit","2026-05-18","passed","2026-05-18","Login Tests","","",""
"","7783","TC-CART-003: Checkout with empty cart","firefox","2026-05-18","failed","2026-05-18","Shopping Cart Tests","","",""
"","1587","login with locked out user","webkit","2026-05-18","passed","2026-05-18","Login Tests","","",""
"","3619","TC-CART-005: Add Items and Proceed to Checkout Successfully","firefox","2026-05-18","passed","2026-05-18","Shopping Cart Tests","","",""
"","2793","TC-CHK-003: Special Characters in Form Fields","webkit","2026-05-18","passed","2026-05-18","Checkout Flow Tests","","",""
"","3116","TC-CART-001: Add multiple items to cart","webkit","2026-05-18","passed","2026-05-18","Shopping Cart Tests","","",""
"","1835","login with problem user","webkit","2026-05-18","passed","2026-05-18","Login Tests","","",""
"","1821","login with empty fields","firefox","2026-05-18","passed","2026-05-18","Login Tests","","",""
"","1599","login with problem user","chromium","2026-05-18","passed","2026-05-18","Login Tests","","",""
"","2168","login with locked out user","firefox","2026-05-18","passed","2026-05-18","Login Tests","","",""
"","3248","TC-CHK-002: Empty First Name Field","webkit","2026-05-18","passed","2026-05-18","Checkout Flow Tests","","",""
"","5567","TC-CART-001: Add multiple items to cart","chromium","2026-05-18","passed","2026-05-18","Shopping Cart Tests","","",""
"Verify that standard_user can login successfully","3386","login with valid credentials","webkit","2026-05-18","passed","2026-05-18","Login Tests","","",""
"","5549","TC-CART-005: Add Items and Proceed to Checkout Successfully","chromium","2026-05-18","passed","2026-05-18","Shopping Cart Tests","","",""
"","3164","TC-CHK-001: Valid Checkout Information","webkit","2026-05-18","passed","2026-05-18","Checkout Flow Tests","","",""
"","2770","TC-CART-001: Add multiple items to cart","firefox","2026-05-18","passed","2026-05-18","Shopping Cart Tests","","",""
"Verify that standard_user can login successfully","2050","login with valid credentials","firefox","2026-05-18","passed","2026-05-18","Login Tests","","",""
"","1605","login with invalid credentials","chromium","2026-05-18","passed","2026-05-18","Login Tests","","",""
"Verify that standard_user can login successfully","1704","login with valid credentials","chromium","2026-05-18","passed","2026-05-18","Login Tests","","",""
"","3120","TC-CART-002: Remove item from cart","webkit","2026-05-18","passed","2026-05-18","Shopping Cart Tests","","",""
"","1849","login with problem user","firefox","2026-05-18","passed","2026-05-18","Login Tests","","",""
"","5746","TC-CART-002: Remove item from cart","chromium","2026-05-18","passed","2026-05-18","Shopping Cart Tests","","",""
"","7862","TC-CART-003: Checkout with empty cart","webkit","2026-05-18","failed","2026-05-18","Shopping Cart Tests","","",""
"","2585","TC-CHK-001: Valid Checkout Information","firefox","2026-05-18","passed","2026-05-18","Checkout Flow Tests","","",""
"","1587","login with locked out user","chromium","2026-05-18","passed","2026-05-18","Login Tests","","",""
"","1885","TC-CHK-002: Empty First Name Field","chromium","2026-05-18","passed","2026-05-18","Checkout Flow Tests","","",""
"","5600","TC-CART-004: Cart Persistence After Navigation","chromium","2026-05-18","passed","2026-05-18","Shopping Cart Tests","","",""
"","3154","TC-CART-004: Cart Persistence After Navigation","webkit","2026-05-18","passed","2026-05-18","Shopping Cart Tests","","",""
"","1553","login with empty fields","chromium","2026-05-18","passed","2026-05-18","Login Tests","","",""
"","3114","TC-CART-005: Add Items and Proceed to Checkout Successfully","webkit","2026-05-18","passed","2026-05-18","Shopping Cart Tests","","",""
"","1870","TC-CHK-003: Special Characters in Form Fields","chromium","2026-05-18","passed","2026-05-18","Checkout Flow Tests","","",""
"","11159","TC-CART-003: Checkout with empty cart","chromium","2026-05-18","failed","2026-05-18","Shopping Cart Tests","","",""
"","1787","login with invalid credentials","firefox","2026-05-18","passed","2026-05-18","Login Tests","","",""
"","5620","TC-CHK-001: Valid Checkout Information","chromium","2026-05-18","passed","2026-05-18","Checkout Flow Tests","","",""
"","3683","TC-CHK-002: Empty First Name Field","firefox","2026-05-18","passed","2026-05-18","Checkout Flow Tests","","",""
