"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1716","TC-M02: Important elements can be seen in the mobile viewport","Mobile Chrome","2026-05-18","passed","2026-05-18","","","",""
"","3147","TC-M05: Rotating screen from Portrait to Landscape does not break layout","Mobile Chrome","2026-05-18","passed","2026-05-18","","","",""
"","1454","TC-M02: Important elements can be seen in the mobile viewport","Mobile Safari","2026-05-18","passed","2026-05-18","","","",""
"","1009","TC-M05: Rotating screen from Portrait to Landscape does not break layout","Mobile Safari","2026-05-18","passed","2026-05-18","","","",""
"","1587","TC-M01: Login successful on mobile","Mobile Safari","2026-05-18","passed","2026-05-18","","","",""
"","226","TC-M06: Slow 3G Network — page is still usable","Mobile Safari","2026-05-18","skipped","2026-05-18","","","",""
"","2460","TC-M04: Hamburger menu can be turned on/off","Mobile Chrome","2026-05-18","passed","2026-05-18","","","",""
"","2059","TC-M04: Hamburger menu can be turned on/off","Mobile Safari","2026-05-18","passed","2026-05-18","","","",""
"","1502","TC-M03: Added to cart, badge updated","Mobile Safari","2026-05-18","passed","2026-05-18","","","",""
"","7096","TC-M06: Slow 3G Network — page is still usable","Mobile Chrome","2026-05-18","passed","2026-05-18","","","",""
"","1399","TC-M01: Login successful on mobile","Mobile Chrome","2026-05-18","passed","2026-05-18","","","",""
"","1603","TC-M03: Added to cart, badge updated","Mobile Chrome","2026-05-18","passed","2026-05-18","","","",""
